Tanggal,Temperatur minimum (°C),Temperatur maksimum (°C),Temperatur rata-rata (°C),Kelembapan rata-rata (%),Curah hujan (mm),Lamanya penyinaran matahari (jam),Kecepatan angin maksimum (m/s),Arah angin saat kecepatan maksimum (°),Kecepatan angin rata-rata (m/s),is_calm,wind_sin,wind_cos
2023-02-27,24.8,30.0,27.1,84.0,38.9,0.5,5.0,315.0,1.0,1,0.0,0.0
2023-02-28,24.8,31.6,27.0,84.0,20.3,1.5,4.0,230.0,1.0,1,0.0,0.0
2023-03-01,24.6,29.8,26.7,88.0,12.7,1.0,8.0,315.0,1.0,1,0.0,0.0
2023-03-02,23.4,27.0,25.1,92.0,79.5,0.5,4.0,210.0,0.0,1,0.0,0.0
2023-03-03,23.8,31.8,27.0,84.0,3.8,0.0,9.0,315.0,1.0,1,0.0,0.0
2023-03-04,24.2,29.6,26.8,81.0,42.5,2.2,4.0,300.0,1.0,1,0.0,0.0
2023-03-05,25.0,29.6,26.6,87.0,2.2,2.0,3.0,310.0,0.0,1,0.0,0.0
2023-03-06,24.0,33.0,28.3,71.0,2.3,2.4,7.0,310.0,2.0,1,0.0,0.0
2023-03-07,25.2,31.2,27.7,76.0,6.7,5.2,4.0,315.0,1.0,1,0.0,0.0
2023-03-08,25.6,29.2,26.5,88.0,4.0,8.0,2.0,250.0,1.0,1,0.0,0.0
2023-03-09,24.8,31.6,27.1,83.0,9.5,0.5,7.0,320.0,1.0,1,0.0,0.0
2023-03-10,24.0,32.4,27.8,81.0,10.0,6.1,5.0,320.0,1.0,1,0.0,0.0
2023-03-11,25.8,33.6,28.5,77.0,2.1,8.4,4.0,280.0,1.0,1,0.0,0.0
2023-03-12,26.6,30.8,28.4,80.0,0.0,8.0,4.0,300.0,1.0,1,0.0,0.0
2023-03-13,25.6,32.2,28.4,72.0,3.3,2.6,8.0,315.0,2.0,1,0.0,0.0
2023-03-14,24.2,31.8,27.2,82.0,32.1,7.6,7.0,320.0,1.0,1,0.0,0.0
2023-03-15,24.4,28.4,25.5,90.0,11.0,0.0,4.0,320.0,1.0,1,0.0,0.0
2023-03-16,24.4,31.2,27.4,82.0,2.4,0.0,5.0,320.0,1.0,1,0.0,0.0
2023-03-17,25.2,32.4,28.6,75.0,1.9,8.0,9.0,310.0,2.0,1,0.0,0.0
2023-03-18,23.8,32.6,28.3,78.0,36.0,9.1,3.0,317.0,1.0,1,0.0,0.0
2023-03-19,26.4,32.0,28.7,81.0,0.0,8.0,6.0,320.0,2.0,1,0.0,0.0
2023-03-20,26.0,32.4,28.7,75.0,0.0,6.0,5.0,317.0,1.0,1,0.0,0.0
2023-03-21,25.6,33.6,29.2,69.0,9.4,7.6,5.0,315.0,0.0,1,0.0,0.0
2023-03-22,25.0,32.6,29.1,76.0,10.6,7.0,3.0,350.0,0.0,1,0.0,0.0
2023-03-23,27.2,33.8,29.3,76.0,1.0,6.7,9.0,320.0,1.0,1,0.0,0.0
2023-03-24,27.2,32.0,29.3,78.0,0.0,7.0,7.0,317.0,1.0,1,0.0,0.0
2023-03-25,27.0,33.8,27.9,83.0,2.0,5.0,5.0,320.0,1.0,1,0.0,0.0
2023-03-26,24.0,30.6,26.8,88.0,48.7,3.0,4.0,300.0,1.0,1,0.0,0.0
2023-03-27,26.0,32.4,27.4,84.0,18.8,6.5,5.0,315.0,1.0,1,0.0,0.0
2023-03-28,26.0,29.6,27.3,86.0,4.2,3.0,4.0,317.0,0.0,1,0.0,0.0
2023-03-29,25.6,32.6,27.5,79.0,17.4,0.0,6.0,315.0,1.0,1,0.0,0.0
2023-03-30,25.4,31.8,26.3,92.0,17.3,2.1,4.0,290.0,0.0,1,0.0,0.0
2023-03-31,25.0,33.2,28.8,70.0,3.2,4.0,9.0,315.0,2.0,1,0.0,0.0
2023-04-01,26.2,31.0,28.1,74.0,0.0,3.0,4.0,260.0,2.0,0,-1.0,-0.0
2023-04-02,26.0,33.0,28.8,76.0,1.2,0.3,7.0,320.0,1.0,1,0.0,0.0
2023-04-03,24.6,32.6,28.1,74.0,6.9,6.9,8.0,315.0,1.0,1,0.0,0.0
2023-04-04,25.0,32.6,28.7,72.0,18.4,6.7,4.0,340.0,1.0,1,0.0,0.0
2023-04-05,25.8,33.2,29.0,69.0,2.6,3.2,6.0,317.0,1.0,1,0.0,0.0
2023-04-06,26.6,34.8,30.3,56.0,0.0,9.2,5.0,315.0,1.0,1,0.0,0.0
2023-04-07,26.0,32.4,28.7,69.0,0.0,5.6,5.0,316.0,1.0,1,0.0,0.0
2023-04-08,26.6,33.2,28.9,74.0,0.0,8.0,3.0,290.0,1.0,1,0.0,0.0
2023-04-09,27.0,32.8,29.1,74.7,0.2,7.6,4.0,320.0,2.0,0,-0.7,0.7
2023-04-10,26.8,33.0,29.1,70.0,0.7,5.0,5.0,240.0,2.0,0,-0.7,0.7
2023-04-11,24.8,33.8,28.9,75.0,3.0,2.9,6.0,315.0,3.0,0,-1.0,-0.0
2023-04-12,27.0,34.8,29.6,66.0,0.8,5.2,11.0,320.0,2.0,0,-0.7,0.7
2023-04-13,26.6,33.6,29.4,73.0,0.0,5.5,3.0,316.0,1.0,1,0.0,0.0
2023-04-14,26.5,33.4,28.3,79.0,0.0,3.4,9.0,320.0,2.0,1,0.0,0.0
2023-04-15,25.0,32.0,28.3,81.0,66.6,5.8,6.0,310.0,1.0,1,0.0,0.0
2023-04-16,25.8,33.4,28.9,80.0,2.0,6.8,3.0,270.0,1.0,1,0.0,0.0
2023-04-17,26.8,33.4,29.3,76.0,12.0,5.5,3.0,250.0,1.0,1,0.0,0.0
2023-04-18,26.0,33.4,29.1,81.0,13.2,7.2,3.0,320.0,1.0,1,0.0,0.0
2023-04-19,25.0,34.4,29.7,79.0,1.2,4.8,2.0,240.0,1.0,1,0.0,0.0
2023-04-20,25.6,34.2,28.9,80.0,29.5,7.6,5.0,320.0,0.0,1,0.0,0.0
2023-04-21,26.6,33.6,29.2,81.0,5.8,3.7,15.0,10.0,1.0,1,0.0,0.0
2023-04-22,25.0,33.8,29.6,76.0,3.2,6.4,3.0,60.0,1.0,1,0.0,0.0
2023-04-23,26.6,34.0,29.8,76.0,0.9,7.0,5.0,100.0,1.0,1,0.0,0.0
2023-04-24,27.0,34.2,29.5,79.0,3.6,7.0,5.0,320.0,1.0,1,0.0,0.0
2023-04-25,25.8,32.2,28.5,81.0,9.7,7.5,4.0,340.0,0.0,1,0.0,0.0
2023-04-26,26.4,33.2,28.7,80.0,1.6,3.2,7.0,320.0,1.0,1,0.0,0.0
2023-04-27,27.0,33.0,29.6,79.0,1.3,7.4,3.0,330.0,1.0,1,0.0,0.0
2023-04-28,27.4,32.8,29.4,79.0,0.0,5.8,4.0,320.0,1.0,1,0.0,0.0
2023-04-29,26.0,32.6,28.6,83.0,0.0,4.7,4.0,320.0,1.0,1,0.0,0.0
2023-04-30,25.0,33.0,29.6,76.0,8.7,3.0,5.0,300.0,1.0,1,0.0,0.0
2023-05-01,27.2,31.0,28.8,80.0,0.0,4.8,3.0,310.0,0.0,1,0.0,0.0
2023-05-02,27.4,34.4,29.0,84.0,0.0,1.4,3.0,320.0,1.0,1,0.0,0.0
2023-05-03,27.4,33.4,29.8,79.0,0.5,3.0,3.0,310.0,1.0,1,0.0,0.0
2023-05-04,26.4,34.2,29.4,79.0,2.5,3.8,3.0,310.0,1.0,1,0.0,0.0
2023-05-05,26.0,33.4,29.2,80.0,9.7,6.6,3.0,300.0,1.0,1,0.0,0.0
2023-05-06,26.0,33.2,28.8,82.0,18.1,3.9,3.0,320.0,0.0,1,0.0,0.0
2023-05-07,26.6,33.2,28.5,83.0,4.1,3.4,6.0,310.0,1.0,1,0.0,0.0
2023-05-08,26.4,32.8,28.7,78.0,45.5,4.7,3.0,340.0,1.0,1,0.0,0.0
2023-05-09,26.4,34.2,30.4,75.0,0.6,3.0,3.0,110.0,1.0,1,0.0,0.0
2023-05-10,27.2,34.0,30.3,76.0,0.0,3.6,5.0,120.0,1.0,1,0.0,0.0
2023-05-11,28.1,32.8,29.2,80.0,0.0,6.2,3.0,110.0,1.0,1,0.0,0.0
2023-05-12,28.0,34.6,30.8,72.0,5.7,1.3,6.0,320.0,1.0,1,0.0,0.0
2023-05-13,27.0,33.8,29.0,82.0,3.5,7.0,5.0,310.0,1.0,1,0.0,0.0
2023-05-14,26.2,33.2,29.5,69.0,20.0,6.5,3.0,220.0,1.0,1,0.0,0.0
2023-05-15,26.2,32.4,28.7,72.0,0.0,6.0,6.0,314.0,1.0,1,0.0,0.0
2023-05-16,26.8,33.6,29.7,70.0,0.0,6.6,4.0,315.0,0.0,1,0.0,0.0
2023-05-17,27.0,33.6,29.6,71.0,0.0,7.5,5.0,320.0,1.0,1,0.0,0.0
2023-05-18,27.6,32.0,29.2,73.0,0.0,6.2,3.0,320.0,0.0,1,0.0,0.0
2023-05-19,27.2,33.2,29.6,74.0,0.0,0.0,6.0,320.0,1.0,1,0.0,0.0
2023-05-20,27.4,33.0,29.4,76.0,0.0,3.3,5.0,310.0,1.0,1,0.0,0.0
2023-05-21,27.4,33.8,29.6,79.0,1.5,2.5,3.0,290.0,1.0,1,0.0,0.0
2023-05-22,26.6,33.2,29.1,78.0,1.8,6.0,2.0,250.0,0.0,1,0.0,0.0
2023-05-23,27.2,33.6,29.3,75.0,0.1,5.3,5.0,320.0,1.0,1,0.0,0.0
2023-05-24,27.0,33.4,29.4,73.0,0.1,4.2,3.0,290.0,1.0,1,0.0,0.0
2023-05-25,26.2,33.2,29.4,72.0,1.1,2.0,4.0,320.0,1.0,1,0.0,0.0
2023-05-26,27.4,33.8,30.1,72.0,0.0,5.2,3.0,140.0,1.0,1,0.0,0.0
2023-05-27,27.2,33.4,29.5,76.0,1.1,4.4,2.0,110.0,1.0,1,0.0,0.0
2023-05-28,25.8,32.6,28.7,80.0,17.8,2.5,5.0,310.0,1.0,1,0.0,0.0
2023-05-29,25.8,32.6,29.9,75.0,4.4,2.5,3.0,150.0,1.0,1,0.0,0.0
2023-05-30,27.8,32.8,29.6,75.0,0.0,3.7,7.0,320.0,1.0,1,0.0,0.0
2023-05-31,27.2,32.4,29.8,73.0,0.0,4.0,3.0,313.0,0.0,1,0.0,0.0
2023-06-01,26.6,33.4,29.3,74.0,0.0,5.0,7.0,320.0,1.0,1,0.0,0.0
2023-06-02,26.0,34.4,29.9,73.0,1.5,6.5,3.0,100.0,1.0,1,0.0,0.0
2023-06-03,27.0,33.8,30.2,72.0,0.0,5.7,3.0,170.0,1.0,1,0.0,0.0
2023-06-04,27.8,32.8,29.5,75.0,0.0,6.2,2.0,120.0,1.0,1,0.0,0.0
2023-06-05,27.2,33.6,29.6,74.0,0.1,4.0,6.0,320.0,1.0,1,0.0,0.0
2023-06-06,26.0,31.6,27.8,82.0,0.3,4.4,3.0,110.0,0.0,1,0.0,0.0
2023-06-07,26.0,33.8,29.8,72.0,1.7,0.0,5.0,310.0,1.0,1,0.0,0.0
2023-06-08,27.0,33.6,29.9,75.0,0.0,4.0,5.0,315.0,1.0,1,0.0,0.0
2023-06-09,26.4,34.0,29.2,73.0,0.0,3.5,3.0,310.0,1.0,1,0.0,0.0
2023-06-10,27.4,32.4,29.5,75.0,0.0,5.2,3.0,10.0,1.0,1,0.0,0.0
2023-06-11,26.6,33.4,29.1,73.0,0.0,4.0,5.0,310.0,1.0,1,0.0,0.0
2023-06-12,26.2,33.8,30.1,72.0,0.0,5.6,4.0,100.0,1.0,1,0.0,0.0
2023-06-13,26.8,34.4,30.1,74.0,0.0,3.4,2.0,100.0,1.0,1,0.0,0.0
2023-06-14,26.0,33.2,29.7,75.0,7.7,2.5,3.0,60.0,0.0,1,0.0,0.0
2023-06-15,27.0,33.4,29.5,74.0,0.0,2.4,4.0,320.0,1.0,1,0.0,0.0
2023-06-16,25.4,32.2,26.2,94.0,0.0,2.0,2.0,140.0,0.0,1,0.0,0.0
2023-06-17,24.6,32.0,27.9,81.0,29.3,0.0,4.0,310.0,1.0,1,0.0,0.0
2023-06-18,25.4,32.0,28.7,80.0,0.0,1.5,4.0,320.0,1.0,1,0.0,0.0
2023-06-19,26.2,31.2,27.4,88.0,0.0,2.3,3.0,20.0,1.0,1,0.0,0.0
2023-06-20,25.2,33.2,28.6,78.0,26.9,0.2,3.0,90.0,1.0,1,0.0,0.0
2023-06-21,25.8,33.0,29.5,77.0,0.0,3.3,5.0,320.0,1.0,1,0.0,0.0
2023-06-22,26.3,33.6,29.2,78.0,2.5,3.9,3.0,315.0,1.0,1,0.0,0.0
2023-06-23,26.4,33.2,29.4,77.0,1.0,3.7,4.0,140.0,2.0,1,0.0,0.0
2023-06-24,26.8,32.0,28.6,79.0,0.0,3.6,3.0,320.0,1.0,1,0.0,0.0
2023-06-25,26.0,32.0,28.7,81.0,31.4,4.2,4.0,320.0,1.0,1,0.0,0.0
2023-06-26,25.2,31.8,28.5,75.0,3.5,2.6,5.0,340.0,1.0,1,0.0,0.0
2023-06-27,26.6,32.2,28.8,76.0,0.0,3.7,5.0,320.0,1.0,1,0.0,0.0
2023-06-28,26.0,33.6,29.1,68.0,0.0,4.0,5.0,317.0,1.0,1,0.0,0.0
2023-06-29,25.2,33.0,28.7,77.0,30.6,4.2,5.0,317.0,1.0,1,0.0,0.0
2023-06-30,26.3,33.2,29.1,76.0,0.0,3.5,7.0,70.0,2.0,1,0.0,0.0
2023-07-01,25.0,32.0,29.2,78.0,0.0,4.8,2.0,20.0,1.0,1,0.0,0.0
2023-07-02,27.6,32.4,29.3,75.0,0.0,2.7,5.0,330.0,1.0,1,0.0,0.0
2023-07-03,26.8,32.2,29.1,74.0,0.0,5.3,7.0,320.0,1.0,1,0.0,0.0
2023-07-04,24.6,33.0,28.7,74.0,0.0,3.5,3.0,320.0,0.0,1,0.0,0.0
2023-07-05,26.4,33.4,29.3,73.0,0.0,5.5,5.0,70.0,1.0,1,0.0,0.0
2023-07-06,26.4,30.2,27.8,82.0,1.6,6.0,3.0,317.0,0.0,1,0.0,0.0
2023-07-07,25.5,31.8,28.2,78.0,2.5,1.5,4.0,320.0,0.0,1,0.0,0.0
2023-07-08,25.4,32.0,28.1,80.0,1.2,1.2,3.0,110.0,1.0,1,0.0,0.0
2023-07-09,25.4,33.2,28.5,76.0,0.0,2.4,4.0,50.0,2.0,0,0.0,-1.0
2023-07-10,26.2,33.0,29.3,73.0,0.0,4.5,4.0,160.0,1.0,1,0.0,0.0
2023-07-11,26.4,33.2,29.1,72.0,0.0,3.4,4.0,310.0,1.0,1,0.0,0.0
2023-07-12,26.0,32.0,29.1,76.0,0.2,6.6,5.0,317.0,1.0,1,0.0,0.0
2023-07-13,26.8,32.6,28.9,72.0,0.0,6.3,6.0,320.0,1.0,1,0.0,0.0
2023-07-14,26.4,32.6,29.0,72.0,0.1,4.5,2.0,320.0,1.0,1,0.0,0.0
2023-07-15,26.0,32.6,28.9,73.0,0.0,4.0,8.0,320.0,2.0,1,0.0,0.0
2023-07-16,25.6,32.8,28.9,74.0,0.0,5.0,4.0,320.0,1.0,1,0.0,0.0
2023-07-17,26.6,33.4,29.3,68.0,0.0,5.6,3.0,80.0,1.0,1,0.0,0.0
2023-07-18,25.8,33.2,28.8,67.0,0.0,5.0,3.0,315.0,1.0,1,0.0,0.0
2023-07-19,25.6,34.6,29.5,59.0,1.6,6.6,5.0,310.0,1.0,1,0.0,0.0
2023-07-20,25.2,32.4,27.9,61.0,0.0,6.8,4.0,317.0,1.0,1,0.0,0.0
2023-07-21,25.4,33.6,28.8,67.0,0.0,6.6,5.0,320.0,1.0,1,0.0,0.0
2023-07-22,26.2,32.8,29.1,70.0,0.0,4.0,3.0,110.0,1.0,1,0.0,0.0
2023-07-23,26.0,33.6,29.0,68.0,0.0,6.0,4.0,320.0,1.0,1,0.0,0.0
2023-07-24,26.3,32.0,28.8,76.0,0.0,6.8,5.0,316.0,1.0,1,0.0,0.0
2023-07-25,26.0,30.8,28.0,78.0,7.8,2.7,5.0,320.0,0.0,1,0.0,0.0
2023-07-26,26.0,30.8,28.0,74.0,0.0,3.3,4.0,310.0,1.0,1,0.0,0.0
2023-07-27,26.4,32.6,29.0,72.0,0.8,1.5,5.0,320.0,1.0,1,0.0,0.0
2023-07-28,25.0,33.2,28.9,68.0,5.1,1.0,6.0,320.0,1.0,1,0.0,0.0
2023-07-29,26.0,32.8,28.6,67.0,0.0,6.3,3.0,150.0,2.0,0,1.0,0.0
2023-07-30,25.6,33.2,28.5,66.0,0.0,6.0,5.0,190.0,2.0,1,0.0,0.0
2023-07-31,25.2,33.0,28.2,65.0,1.0,4.8,4.0,320.0,1.0,1,0.0,0.0
2023-08-01,24.0,33.2,28.7,68.0,1.3,6.0,6.0,240.0,2.0,0,1.0,0.0
2023-08-02,26.0,32.4,29.4,72.0,0.0,7.0,4.0,320.0,2.0,0,0.0,-1.0
2023-08-03,26.8,33.6,29.4,75.0,0.0,0.7,5.0,320.0,1.0,1,0.0,0.0
2023-08-04,26.5,34.2,29.6,74.0,0.0,3.5,4.0,320.0,1.0,1,0.0,0.0
2023-08-05,26.6,33.0,29.4,71.0,0.2,6.5,4.0,350.0,1.0,1,0.0,0.0
2023-08-06,26.4,33.4,28.8,73.0,0.0,6.8,7.0,20.0,2.0,1,0.0,0.0
2023-08-07,26.2,32.6,28.8,76.0,0.0,7.0,5.0,310.0,1.0,1,0.0,0.0
2023-08-08,26.4,34.0,29.0,77.0,2.6,5.2,7.0,320.0,2.0,1,0.0,0.0
2023-08-09,26.0,33.4,28.7,75.0,0.0,7.0,4.0,320.0,0.0,1,0.0,0.0
2023-08-10,25.8,33.2,28.3,76.0,0.0,7.2,6.0,320.0,1.0,1,0.0,0.0
2023-08-11,26.4,31.5,28.6,74.0,0.0,6.7,6.0,320.0,2.0,1,0.0,0.0
2023-08-12,25.8,33.6,28.8,66.0,1.3,5.0,5.0,310.0,1.0,1,0.0,0.0
2023-08-13,25.6,32.4,28.2,70.0,0.0,7.0,4.0,180.0,1.0,1,0.0,0.0
2023-08-14,25.8,32.8,28.4,72.0,0.0,6.7,4.0,160.0,2.0,1,0.0,0.0
2023-08-15,26.0,32.2,28.4,74.0,0.0,7.0,3.0,40.0,1.0,1,0.0,0.0
2023-08-16,26.4,33.6,28.8,72.0,0.0,7.0,4.0,320.0,1.0,1,0.0,0.0
2023-08-17,25.0,32.4,28.2,70.0,6.7,5.5,7.0,350.0,1.0,1,0.0,0.0
2023-08-18,25.8,32.4,28.2,71.0,0.0,7.2,10.0,320.0,2.0,1,0.0,0.0
2023-08-19,26.2,33.0,28.9,71.0,0.0,6.8,4.0,100.0,2.0,1,0.0,0.0
2023-08-20,26.4,34.8,29.4,72.0,0.9,7.0,5.0,210.0,1.0,1,0.0,0.0
2023-08-21,25.0,33.4,29.2,68.0,0.0,6.8,4.0,180.0,1.0,1,0.0,0.0
2023-08-22,26.0,32.2,28.8,70.0,0.0,4.5,5.0,130.0,2.0,1,0.0,0.0
