Tanggal,Temperatur minimum (°C),Temperatur maksimum (°C),Temperatur rata-rata (°C),Kelembapan rata-rata (%),Curah hujan (mm),Lamanya penyinaran matahari (jam),Kecepatan angin maksimum (m/s),Arah angin saat kecepatan maksimum (°),Kecepatan angin rata-rata (m/s),Arah angin terbanyak (°)
10-11-2023,27,33.4,29.2,79.0,0,0,4.0,320.0,1.0,C 
11-11-2023,26.2,33.2,29.3,76.0,4.5,0,4.0,340.0,1.0,C 
12-11-2023,-,34,30.1,71.0,0,0,5.0,320.0,1.0,C 
13-11-2023,26,35.6,31.2,67.0,-,0,3.0,240.0,1.0,C 
14-11-2023,28,34.4,29.7,76.0,8888,8,5.0,320.0,1.0,C 
15-11-2023,25.2,33.4,29.6,74.0,39,0,4.0,320.0,1.0,C 
16-11-2023,26.2,34.2,29.7,74.0,-,4.2,6.0,320.0,2.0,C 
17-11-2023,26,33.4,29.8,75.0,11,7.6,4.0,20.0,1.0,C 
18-11-2023,27,33.4,29.2,76.0,0.4,6.2,4.0,320.0,1.0,C 
19-11-2023,27,33.4,29.6,78.0,1,6,5.0,330.0,1.0,C 
20-11-2023,26,34.2,30.4,69.0,4,7.8,7.0,320.0,1.0,C 
21-11-2023,27.4,33.6,30.2,72.0,0,6.3,9.0,330.0,2.0,C 
22-11-2023,26,33.6,30.0,73.0,15,6.8,9.0,320.0,2.0,C 
23-11-2023,27.4,32.2,29.2,78.0,3.1,3,6.0,320.0,1.0,C 
24-11-2023,26.8,32.8,28.6,82.0,0,0,5.0,330.0,1.0,C 
25-11-2023,25,29.6,26.1,89.0,3.5,1,2.0,150.0,0.0,C 
26-11-2023,24.8,32.8,29.1,75.0,18.1,0,4.0,330.0,1.0,C 
27-11-2023,26.4,32.2,28.2,78.0,-,5.2,3.0,320.0,1.0,C 
28-11-2023,26.4,33,29.5,73.0,-,0,5.0,320.0,0.0,C 
29-11-2023,-,34.2,29.8,76.0,2.5,-,2.0,20.0,0.0,C 
30-11-2023,25.8,32.6,28.3,80.0,18.1,6.2,5.0,330.0,1.0,C 
01-12-2023,26.4,30.4,26.9,87.0,3,2.3,2.0,300.0,0.0,C 
02-12-2023,25.8,33.6,29.4,74.0,1.1,0,6.0,320.0,1.0,C 
03-12-2023,26.0,32.2,28.6,78.0,-,6.1,4.0,260.0,1.0,C 
04-12-2023,26.0,29.0,26.7,86.0,2.3,1.7,2.0,120.0,0.0,C 
05-12-2023,24.8,32.4,29.4,74.0,1.4,0,5.0,320.0,1.0,C 
06-12-2023,26.2,33.4,29.4,74.0,-,6.5,5.0,320.0,1.0,C 
07-12-2023,27.2,33.4,29.2,79.0,0,6.7,4.0,320.0,1.0,C 
08-12-2023,26.4,32.6,29.4,76.0,0,0.6,5.0,320.0,1.0,C 
09-12-2023,26.6,32.4,29.1,76.0,0,3.6,3.0,300.0,1.0,C 
10-12-2023,26.8,32.0,29.2,77.0,0,1,4.0,50.0,1.0,C 
11-12-2023,26.8,33.0,30.0,72.0,0,0,7.0,320.0,2.0,C 
12-12-2023,28.0,33.2,29.7,71.0,0,7,5.0,340.0,1.0,C 
13-12-2023,26.4,33.0,30.1,70.0,0,3.8,9.0,320.0,2.0,C 
14-12-2023,26.8,33.8,30.6,69.0,0,6.8,7.0,320.0,2.0,C 
15-12-2023,25.0,33.4,30.4,65.0,-,7.6,4.0,330.0,1.0,C 
16-12-2023,26.4,33.6,30.3,64.0,0,5.2,5.0,310.0,2.0,C 
17-12-2023,26.4,34.8,30.6,65.0,0,7.7,5.0,330.0,2.0,W 
