iter	RMSE
299	0.5255161938
300	0.5202309614
301	0.5196108848
302	0.515404167
303	0.5136181337
304	0.508405619
305	0.5043720958
306	0.5039852427
307	0.5000200097
308	0.4945760644
309	0.489550562
310	0.4890797061
311	0.4843137626
312	0.4804742377
313	0.4758886509
314	0.4723361353
315	0.4675429058
316	0.4668562399
317	0.4617193576
318	0.4576532692
319	0.4536762953
320	0.4501229045
321	0.446864026
322	0.4427263488
323	0.4396078935
324	0.4391177878
325	0.4387862147
326	0.4383934684
327	0.4380122302
328	0.4376542694
329	0.4354179146
330	0.4350438983
331	0.4326737447
332	0.4323219294
333	0.4310139042
334	0.4306953725
335	0.4277437172
336	0.4265534968
337	0.4232308107
338	0.4217553973
339	0.4186632297
340	0.4157560994
341	0.4133511916
342	0.4131132406
343	0.4106098941
344	0.4098248106
345	0.4074092494
346	0.4046484821
347	0.4018209898
348	0.4014824126
349	0.3986316493
350	0.398325617
351	0.3951068851
352	0.3922813403
353	0.3918138066
354	0.3916141355
355	0.389754829
356	0.3883453307
357	0.3859180723
358	0.3844053513
359	0.3822867009
360	0.379931055
361	0.3781888075
362	0.3755511167
363	0.3727133556
364	0.3690305291
365	0.3665996008
366	0.3641495633
367	0.3615039402
368	0.3590793021
369	0.3572173926
370	0.3546068435
371	0.3521828984
372	0.3494857158
373	0.3467221033
374	0.3449683629
375	0.3426634833
376	0.3401102623
377	0.3374542519
378	0.335209587
379	0.3328755088
380	0.3309518363
381	0.3278592851
382	0.3253134861
383	0.3234648184
384	0.3212876264
385	0.3203839962
386	0.3189073197
387	0.3163334737
388	0.3139745853
389	0.31219627
390	0.309819143
391	0.3079244677
392	0.3055292238
393	0.30372108
394	0.3011551244
395	0.3009850082
396	0.3008390741
397	0.2994472441
398	0.2975561684
399	0.2961341861
400	0.2939176686
401	0.293099608
402	0.2913239556
403	0.2883879758
404	0.2874086437
405	0.2855326196
406	0.2836149476
407	0.2821485464
408	0.2803871637
409	0.2778928919
410	0.2763914133
411	0.2741417803
412	0.2722837786
413	0.2705130788
414	0.2686540041
415	0.2665334004
416	0.2659498255
417	0.263085916
418	0.2611178615
419	0.2596177537
420	0.2581270391
421	0.2568176276
422	0.2558160475
423	0.2544633902
424	0.2536997782
425	0.252138922
426	0.2507710086
427	0.2493383042
428	0.2479854619
429	0.246953055
430	0.2459841496
431	0.2445774375
432	0.2427620502
433	0.241132905
434	0.2403031426
435	0.2389857828
436	0.237169846
437	0.2362562003
438	0.2355476918
439	0.2337799523
440	0.2324829133
441	0.2305382505
442	0.2288024869
443	0.2279597395
444	0.2263552837
445	0.2248845264
446	0.2236254371
447	0.2219604562
448	0.2203979999
449	0.2199195825
450	0.2188643105
451	0.2174937295
452	0.2166282282
453	0.2151311528
454	0.2140968661
455	0.2125913498
456	0.2117005055
457	0.2102093175
458	0.209920235
459	0.2095113088
460	0.2090307245
461	0.2077995082
462	0.2068740455
463	0.2058683774
464	0.2048833249
465	0.2032727823
466	0.2022944916
467	0.2009499503
468	0.1994079156
469	0.1984231062
470	0.1983217303
471	0.1973315288
472	0.1963740548
473	0.1956972051
474	0.1945004174
475	0.193454907
476	0.1933636593
477	0.1927761982
478	0.191797486
479	0.1915361899
480	0.1900447467
481	0.1885400668
482	0.1882741206
483	0.1878109619
484	0.1869970813
485	0.1858783736
486	0.1847353341
487	0.1841944288
488	0.1830203667
489	0.1829348362
490	0.1818466329
491	0.1806854234
492	0.1795062278
493	0.1794271891
494	0.1792605607
495	0.1781324098
496	0.1778058612
497	0.1771842271
498	0.1758906174
499	0.175801304
