iter	RMSE
0	14.95778419
1	14.50090527
2	14.15869119
3	13.73503602
4	13.38120924
5	13.0548322
6	12.66945523
7	12.37084208
8	12.07388294
9	11.80560044
10	11.51458797
11	11.23559302
12	10.96309969
13	10.716948
14	10.50519675
15	10.26537864
16	10.07081696
17	9.814618809
18	9.541354534
19	9.27891248
20	9.059311113
21	8.845423283
22	8.658289031
23	8.42335596
24	8.231459528
25	8.069319955
26	7.904723469
27	7.746935386
28	7.540983302
29	7.377336548
30	7.188185172
31	6.987360695
32	6.88325773
33	6.748402794
34	6.609207004
35	6.455856859
36	6.31687579
37	6.194696211
38	6.047966255
39	5.933539858
40	5.790250583
41	5.677420858
42	5.563547517
43	5.451293778
44	5.356671534
45	5.293332798
46	5.205683133
47	5.089655136
48	5.024481716
49	4.91747507
50	4.810889421
51	4.717328286
52	4.634247795
53	4.559386174
54	4.49442121
55	4.395245425
56	4.322424908
57	4.259100029
58	4.171911539
59	4.076441659
60	4.001837899
61	3.974519698
62	3.895421963
63	3.852740664
64	3.81464004
65	3.750224965
66	3.688549422
67	3.621703147
68	3.541534856
69	3.512491469
70	3.466301069
71	3.422058237
72	3.387824602
73	3.335451427
74	3.281792385
75	3.212695376
76	3.163446052
77	3.116445925
78	3.067950068
79	3.036704457
80	2.992188206
81	2.965427315
82	2.936290967
83	2.909427246
84	2.87014895
85	2.823027777
86	2.780740207
87	2.751638506
88	2.717732465
89	2.697979542
90	2.677849714
91	2.656947851
92	2.60413191
93	2.567605541
94	2.537903375
95	2.515265748
96	2.468511378
97	2.442248552
98	2.416417333
99	2.400784343
100	2.363792755
101	2.328889525
102	2.311201118
103	2.274712159
104	2.239611758
105	2.219985635
106	2.196501076
107	2.179643324
108	2.148026333
109	2.135488492
110	2.111340069
111	2.096805716
112	2.07071966
113	2.056930028
114	2.043173125
115	2.025206391
116	2.000409215
117	1.974948382
118	1.949665955
119	1.936290281
120	1.923635022
121	1.911718858
122	1.893073218
123	1.861601255
124	1.850354022
125	1.832090295
126	1.821970804
127	1.811126332
128	1.800152191
129	1.79022805
130	1.764433786
131	1.740981276
132	1.712315856
133	1.701527054
134	1.693970745
135	1.682762792
136	1.669008384
137	1.660373282
138	1.634665949
139	1.6091357
140	1.5838733
141	1.575315567
142	1.566283254
143	1.55560529
144	1.548254435
145	1.528205554
146	1.520008059
147	1.512937987
148	1.505976394
149	1.498338683
150	1.47470489
151	1.467932518
152	1.461710561
153	1.437295541
154	1.431087914
155	1.42114094
156	1.400452713
157	1.394676376
158	1.370042973
159	1.349774525
160	1.344482377
161	1.325059111
162	1.305762159
163	1.300641633
164	1.283544526
165	1.278371315
166	1.273481805
167	1.255804993
168	1.25124667
169	1.232326106
170	1.227804468
171	1.210139319
172	1.205137426
173	1.20102862
174	1.185382565
175	1.180930843
176	1.177026652
177	1.158874849
178	1.154856967
179	1.150308414
180	1.13567443
181	1.132132666
182	1.117268633
183	1.113875331
184	1.11034517
185	1.093461348
186	1.090142504
187	1.075867083
188	1.072547993
189	1.069217839
190	1.065970546
191	1.062980674
192	1.048076277
193	1.045186936
194	1.032550522
195	1.02982054
196	1.017846798
197	1.015197234
198	1.012571624
199	0.9991578169
200	0.9965354073
201	0.9941214782
202	0.9916099842
203	0.989162382
204	0.9782507376
205	0.9666695868
206	0.9531872427
207	0.9509511388
208	0.9486676473
209	0.946447258
210	0.944331772
211	0.9424363875
212	0.940403427
213	0.9387014375
214	0.9253575432
215	0.9148318421
216	0.9047060111
217	0.902814495
218	0.892212897
219	0.8905359235
220	0.8888644545
221	0.8802311224
222	0.8685826044
223	0.8589342227
224	0.8574107912
225	0.8482833181
226	0.8379851196
227	0.8296184714
228	0.8282806962
229	0.8209680739
230	0.8195809863
231	0.8123880525
232	0.8109475597
233	0.8096956271
234	0.8017085888
235	0.7967633655
236	0.7888446624
237	0.7875701979
238	0.7795251651
239	0.7718670823
240	0.7678663552
241	0.7667717994
242	0.7564230363
243	0.7515552541
244	0.7441859505
245	0.7431884534
246	0.7329890291
247	0.7242202658
248	0.7185614797
249	0.7139883964
250	0.7080426961
251	0.6988780578
252	0.691913406
253	0.6875484491
254	0.6822459398
255	0.6781494602
256	0.6771752266
257	0.6762493125
258	0.6717052689
259	0.6708235741
260	0.6699908699
261	0.6656816764
262	0.6608837818
263	0.6546457627
264	0.6490645346
265	0.6481994981
266	0.64730332
267	0.6465129053
268	0.6403851843
269	0.6381033834
270	0.6331186104
271	0.6323734198
272	0.6267964627
273	0.6260790407
274	0.6214031917
275	0.6165730687
276	0.6115228253
277	0.6071925793
278	0.6034123427
279	0.5991735986
280	0.5948803161
281	0.588978795
282	0.583887587
283	0.5832851867
284	0.5788093153
285	0.5727749112
286	0.567608383
287	0.5639974191
288	0.5634462867
289	0.5576102978
290	0.5517419285
291	0.5484579262
292	0.5451996085
293	0.5405735212
294	0.5380353131
295	0.5374990405
296	0.5325968515
297	0.5320685768
298	0.5283554732
