TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-05-2025,27.0,32.6,29.4,75.0,0.0,5.3,5.0,300.0,1.0,C
02-05-2025,27.0,33.6,30.0,76.0,8888.0,6.7,4.0,290.0,1.0,C
03-05-2025,25.0,33.2,28.4,82.0,3.0,5.3,3.0,300.0,1.0,C
04-05-2025,26.2,33.0,28.7,79.0,42.2,6.5,4.0,50.0,1.0,C
05-05-2025,26.4,34.8,30.2,74.0,0.0,2.3,3.0,350.0,1.0,C
06-05-2025,25.0,34.0,29.3,76.0,0.0,7.0,3.0,110.0,1.0,C
07-05-2025,26.4,33.2,28.8,80.0,3.0,6.7,4.0,310.0,1.0,C
08-05-2025,26.8,33.6,29.4,80.0,3.7,6.6,5.0,280.0,2.0,C
09-05-2025,25.0,33.4,30.2,72.0,0.0,7.0,4.0,250.0,2.0,W
10-05-2025,27.2,33.8,29.7,78.0,0.0,3.3,5.0,300.0,1.0,C
11-05-2025,26.8,34.6,28.8,81.0,0.8,5.2,3.0,20.0,1.0,C
12-05-2025,25.0,32.8,29.2,76.0,27.0,5.2,4.0,290.0,1.0,C
13-05-2025,26.0,33.0,28.9,76.0,0.0,0.6,4.0,300.0,1.0,C
14-05-2025,24.8,33.8,29.1,78.0,55.2,4.0,4.0,320.0,1.0,C
15-05-2025,25.0,33.4,29.6,75.0,0.0,5.2,4.0,330.0,1.0,C
16-05-2025,26.4,32.4,28.6,83.0,37.2,6.3,4.0,290.0,1.0,C
17-05-2025,26.0,34.0,28.4,83.0,2.1,4.2,2.0,70.0,1.0,C
18-05-2025,25.0,33.2,29.0,79.0,5.7,4.3,3.0,300.0,2.0,SE
19-05-2025,25.6,32.6,28.8,78.0,1.0,5.5,3.0,290.0,1.0,C
20-05-2025,26.2,33.6,29.3,75.0,0.0,2.7,4.0,260.0,1.0,C
21-05-2025,26.0,31.6,28.1,84.0,0.0,3.2,3.0,120.0,1.0,C
22-05-2025,25.8,30.6,28.0,87.0,40.4,1.0,5.0,310.0,1.0,C
23-05-2025,25.8,30.0,26.8,90.0,4.9,2.1,4.0,340.0,1.0,C
24-05-2025,25.0,32.4,28.2,81.0,7.5,0.0,4.0,290.0,1.0,C
25-05-2025,25.4,29.6,26.9,89.0,0.5,5.5,4.0,20.0,1.0,C
26-05-2025,25.4,30.0,27.4,87.0,33.0,0.0,3.0,290.0,1.0,C
27-05-2025,25.0,33.6,29.7,71.0,21.3,0.0,3.0,280.0,1.0,C
28-05-2025,26.8,33.8,29.8,76.0,0.0,6.8,3.0,280.0,1.0,C
29-05-2025,27.0,34.6,30.4,76.0,0.0,5.8,4.0,290.0,1.0,C
30-05-2025,24.8,32.0,28.5,82.0,20.0,5.7,4.0,270.0,1.0,C
31-05-2025,26.0,33.4,29.5,80.0,0.0,5.4,5.0,270.0,1.0,C
