TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2025,26.4,32.4,29.1,75.0,0.0,5.6,5.0,290.0,2.0,W
02-01-2025,27.0,33.0,29.2,75.0,0.0,2.5,7.0,300.0,1.0,C
03-01-2025,25.0,32.0,28.5,76.0,0.0,6.9,13.0,31.0,2.0,C
04-01-2025,26.6,34.6,30.1,65.0,0.0,2.4,4.0,260.0,1.0,C
05-01-2025,26.0,34.2,28.7,78.0,0.0,2.1,4.0,250.0,1.0,C
06-01-2025,25.2,33.4,28.6,77.0,18.4,3.4,5.0,300.0,1.0,C
07-01-2025,26.0,33.4,29.3,75.0,0.0,5.5,5.0,310.0,2.0,C
08-01-2025,25.2,32.4,28.1,83.0,9.0,1.7,5.0,320.0,1.0,C
09-01-2025,24.2,30.4,26.5,88.0,71.0,3.9,3.0,250.0,1.0,C
10-01-2025,24.8,32.2,28.6,78.0,6.5,0.2,6.0,280.0,1.0,C
11-01-2025,24.8,31.6,27.9,83.0,23.2,1.6,4.0,260.0,1.0,C
12-01-2025,25.0,33.2,28.9,73.0,2.0,3.7,4.0,250.0,1.0,C
13-01-2025,26.8,31.0,28.5,79.0,0.0,3.0,4.0,280.0,2.0,W
14-01-2025,26.6,30.0,26.9,88.0,29.2,1.8,5.0,320.0,1.0,C
15-01-2025,24.2,33.0,28.3,79.0,18.0,0.3,5.0,300.0,2.0,SW
16-01-2025,24.0,31.2,29.1,75.0,0.0,4.1,4.0,220.0,2.0,W
17-01-2025,27.0,32.0,28.8,79.0,0.0,2.5,4.0,280.0,1.0,C
18-01-2025,24.0,32.0,27.0,86.0,38.5,4.2,3.0,260.0,1.0,C
19-01-2025,24.6,32.0,29.3,75.0,6.4,1.5,5.0,310.0,2.0,W
20-01-2025,24.4,31.0,25.7,92.0,29.2,5.8,3.0,270.0,1.0,C
21-01-2025,24.0,30.4,26.8,87.0,60.0,0.3,4.0,290.0,1.0,C
22-01-2025,24.6,31.4,27.4,82.0,22.1,0.2,3.0,280.0,1.0,C
23-01-2025,25.0,31.8,28.2,78.0,0.0,1.2,3.0,280.0,1.0,C
24-01-2025,25.0,31.2,28.1,81.0,0.0,1.1,3.0,250.0,1.0,C
25-01-2025,25.6,32.0,27.3,83.0,2.0,2.0,4.0,280.0,1.0,C
26-01-2025,26.0,32.8,28.4,80.0,0.0,1.2,4.0,230.0,1.0,C
27-01-2025,25.0,30.6,28.0,77.0,0.5,3.8,3.0,230.0,1.0,C
28-01-2025,26.4,28.4,27.2,86.0,0.0,0.0,3.0,310.0,1.0,C
29-01-2025,23.8,29.8,26.9,85.0,184.8,0.0,6.0,260.0,2.0,W
30-01-2025,24.2,30.2,27.5,80.0,8.3,0.0,5.0,290.0,2.0,C
31-01-2025,24.4,31.4,27.6,84.0,9.5,4.7,6.0,260.0,2.0,W
