TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-05-2023,27.2,31.0,28.8,80.0,0,4.8,3.0,310.0,0.0,C 
02-05-2023,27.4,34.4,29.0,84.0,0,1.4,3.0,320.0,1.0,C 
03-05-2023,27.4,33.4,29.8,79.0,0.5,3.0,3.0,310.0,1.0,C 
04-05-2023,26.4,34.2,29.4,79.0,2.5,3.8,3.0,310.0,1.0,C 
05-05-2023,26,33.4,29.2,80.0,-,6.6,3.0,300.0,1.0,C 
06-05-2023,26,33.2,28.8,82.0,18.1,3.9,3.0,320.0,0.0,C 
07-05-2023,26.6,33.2,28.5,83.0,-,3.4,6.0,310.0,1.0,C 
08-05-2023,26.4,32.8,28.7,78.0,45.5,4.7,3.0,340.0,1.0,C 
09-05-2023,26.4,34.2,30.4,75.0,-,3.0,3.0,110.0,1.0,C 
10-05-2023,27.2,34.0,30.3,76.0,0,3.6,5.0,120.0,1.0,C 
11-05-2023,28.1,32.8,29.2,80.0,0,6.2,3.0,110.0,1.0,C 
12-05-2023,28,34.6,30.8,72.0,-,1.3,6.0,320.0,1.0,C 
13-05-2023,27,33.8,29.0,82.0,-,7.0,5.0,310.0,1.0,C 
14-05-2023,26.2,33.2,29.5,69.0,20,6.5,3.0,220.0,1.0,C 
15-05-2023,26.2,32.4,28.7,72.0,0,6.0,6.0,314.0,1.0,C 
16-05-2023,26.8,33.6,29.7,70.0,0,6.6,4.0,315.0,0.0,C 
17-05-2023,27,33.6,29.6,71.0,0,7.5,5.0,320.0,1.0,C 
18-05-2023,27.6,32.0,29.2,73.0,0,6.2,3.0,320.0,0.0,C 
19-05-2023,27.2,33.2,29.6,74.0,0,0.0,6.0,320.0,1.0,C 
20-05-2023,27.4,33.0,29.4,76.0,0,3.3,5.0,310.0,1.0,C 
21-05-2023,27.4,33.8,29.6,79.0,-,2.5,3.0,290.0,1.0,C 
22-05-2023,26.6,33.2,29.1,78.0,1.8,6.0,2.0,250.0,0.0,C 
23-05-2023,27.2,33.6,29.3,75.0,-,5.3,5.0,320.0,1.0,C 
24-05-2023,27,33.4,29.4,73.0,-,4.2,3.0,290.0,1.0,C 
25-05-2023,-,33.2,29.4,72.0,-,2.0,4.0,320.0,1.0,C 
26-05-2023,27.4,33.8,30.1,72.0,0,5.2,3.0,140.0,1.0,C 
27-05-2023,27.2,33.4,29.5,76.0,-,4.4,2.0,110.0,1.0,C 
28-05-2023,25.8,32.6,28.7,80.0,17.8,2.5,5.0,310.0,1.0,C 
29-05-2023,25.8,32.6,29.9,75.0,-,2.5,3.0,150.0,1.0,C 
30-05-2023,27.8,32.8,29.6,75.0,0,3.7,7.0,320.0,1.0,C 
31-05-2023,27.2,32.4,29.8,73.0,0,4.0,3.0,313.0,0.0,C 
