TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-12-2024,27.6,35.4,30.4,68.0,0.6,2.5,6.0,220.0,3.0,SW
02-12-2024,26.4,35.2,29.3,72.0,5.0,6.8,8.0,100.0,3.0,W
03-12-2024,26.0,31.4,27.3,79.0,26.0,1.4,6.0,270.0,2.0,C
04-12-2024,25.0,30.0,27.1,83.0,4.0,0.5,5.0,250.0,2.0,W
05-12-2024,25.0,32.2,27.7,82.0,10.4,0.0,5.0,260.0,1.0,C
06-12-2024,25.2,29.6,27.1,86.0,48.2,1.5,3.0,200.0,0.0,C
07-12-2024,25.4,31.6,27.7,87.0,8888.0,0.2,3.0,330.0,0.0,C
08-12-2024,25.0,32.0,28.2,82.0,30.4,1.4,5.0,320.0,1.0,C
09-12-2024,26.0,32.0,27.5,85.0,0.0,1.5,3.0,30.0,0.0,C
10-12-2024,25.4,31.8,27.7,82.0,26.0,0.0,6.0,260.0,3.0,W
11-12-2024,26.4,33.8,29.7,71.0,0.7,0.3,5.0,320.0,1.0,C
12-12-2024,25.0,34.4,29.7,69.0,1.0,2.4,6.0,250.0,2.0,W
13-12-2024,27.2,32.4,30.1,68.0,0.0,4.0,4.0,320.0,1.0,C
14-12-2024,27.0,32.2,28.4,75.0,0.0,3.1,7.0,220.0,2.0,W
15-12-2024,27.2,32.8,28.3,78.0,0.0,0.2,3.0,300.0,1.0,C
16-12-2024,25.2,31.0,28.4,79.0,18.5,0.3,4.0,220.0,1.0,C
17-12-2024,25.4,32.2,28.3,82.0,6.5,0.5,3.0,180.0,1.0,C
18-12-2024,25.4,33.4,29.1,72.0,8888.0,2.0,4.0,300.0,2.0,W
19-12-2024,26.0,32.0,28.1,82.0,1.2,4.2,5.0,220.0,1.0,C
20-12-2024,25.0,32.0,28.1,82.0,56.0,1.9,3.0,230.0,1.0,C
21-12-2024,25.6,31.4,28.1,81.0,10.2,2.6,6.0,270.0,2.0,C
22-12-2024,25.6,30.6,27.8,87.0,19.0,1.6,4.0,330.0,1.0,C
23-12-2024,26.0,30.0,26.9,93.0,43.8,2.5,4.0,300.0,1.0,C
24-12-2024,24.4,31.4,28.0,79.0,17.0,0.0,3.0,330.0,1.0,C
25-12-2024,25.4,31.4,27.9,86.0,3.4,0.6,3.0,280.0,1.0,C
26-12-2024,26.0,33.6,29.4,74.0,8.2,0.0,6.0,240.0,1.0,C
27-12-2024,25.2,32.4,29.2,78.0,0.0,1.2,5.0,280.0,2.0,C
28-12-2024,27.2,34.2,30.0,70.0,0.0,3.8,4.0,300.0,2.0,C
29-12-2024,27.8,33.0,29.7,73.0,0.0,3.0,3.0,270.0,1.0,C
30-12-2024,24.8,32.4,28.4,76.0,1.0,1.8,6.0,240.0,2.0,SW
31-12-2024,25.2,32.4,28.4,76.0,1.6,2.4,5.0,270.0,2.0,W
