TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-11-2024,27.4,35.0,30.3,68.0,0.0,6.3,3.0,330.0,1.0,C
02-11-2024,26.0,34.6,28.9,79.0,0.0,2.6,10.0,320.0,2.0,C
03-11-2024,25.6,32.8,27.7,79.0,24.5,6.2,5.0,320.0,1.0,C
04-11-2024,25.0,31.4,27.6,82.0,18.4,5.1,3.0,30.0,1.0,C
05-11-2024,25.2,33.6,28.6,78.0,0.0,2.8,6.0,320.0,2.0,C
06-11-2024,25.0,33.4,29.3,73.0,14.5,6.0,5.0,100.0,1.0,C
07-11-2024,26.8,33.4,29.5,75.0,0.0,3.5,4.0,300.0,1.0,C
08-11-2024,26.8,33.8,30.0,70.0,0.0,3.5,4.0,300.0,1.0,C
09-11-2024,27.8,33.6,29.1,76.0,0.0,5.7,3.0,320.0,1.0,C
10-11-2024,25.0,33.2,28.7,77.0,0.0,4.9,4.0,300.0,1.0,C
11-11-2024,27.2,33.4,28.6,79.0,0.0,3.3,5.0,330.0,1.0,C
12-11-2024,25.4,31.8,28.3,80.0,5.6,2.8,3.0,320.0,1.0,C
13-11-2024,26.4,34.8,29.6,74.0,1.2,2.4,5.0,310.0,1.0,C
14-11-2024,26.0,34.6,30.0,76.0,0.0,4.6,5.0,320.0,1.0,C
15-11-2024,27.2,34.4,30.0,73.0,0.0,5.0,4.0,10.0,1.0,C
16-11-2024,27.8,32.4,28.6,84.0,1.0,3.5,4.0,320.0,1.0,C
17-11-2024,26.2,33.6,29.6,78.0,7.2,1.2,5.0,310.0,1.0,C
18-11-2024,26.0,32.8,28.6,83.0,17.8,3.4,6.0,320.0,2.0,C
19-11-2024,26.8,34.0,29.2,78.0,0.0,5.8,5.0,320.0,1.0,C
20-11-2024,26.2,33.6,29.5,75.0,8.0,4.4,4.0,250.0,1.0,C
21-11-2024,26.8,33.2,29.7,75.0,0.0,4.2,7.0,330.0,1.0,C
22-11-2024,25.0,34.4,29.4,74.0,0.0,5.6,6.0,270.0,2.0,C
23-11-2024,26.6,34.4,29.0,77.0,0.0,5.5,3.0,270.0,1.0,C
24-11-2024,26.4,35.2,29.6,73.0,0.0,2.4,5.0,310.0,1.0,C
25-11-2024,27.0,34.0,30.1,72.0,0.0,3.8,6.0,250.0,2.0,C
26-11-2024,26.0,34.0,28.9,76.0,0.0,3.1,5.0,330.0,1.0,C
27-11-2024,27.2,32.6,29.0,79.0,1.6,5.5,6.0,340.0,1.0,C
28-11-2024,25.4,33.8,29.4,72.0,50.0,2.3,5.0,240.0,2.0,W
29-11-2024,26.4,35.0,29.8,67.0,0.6,2.0,10.0,260.0,2.0,C
30-11-2024,25.0,35.2,30.4,66.0,0.0,0.9,5.0,230.0,2.0,W
