TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-06-2025,25.8,32.0,28.3,75.0,1.6,6.3,3.0,90.0,1.0,C
02-06-2025,24.8,33.2,29.4,76.0,0.0,0.2,3.0,290.0,1.0,C
03-06-2025,27.0,33.2,29.5,76.0,0.0,4.2,3.0,290.0,0.0,C
04-06-2025,27.2,34.0,30.2,74.0,0.0,7.0,4.0,280.0,1.0,C
05-06-2025,25.0,33.4,29.8,73.0,0.0,3.7,4.0,320.0,1.0,C
06-06-2025,27.2,32.6,29.3,74.0,0.0,4.2,4.0,310.0,1.0,C
07-06-2025,27.4,33.0,28.6,82.0,8888.0,2.0,5.0,300.0,1.0,C
08-06-2025,24.0,32.4,28.9,76.0,16.5,4.0,3.0,280.0,1.0,C
09-06-2025,26.4,32.8,29.0,78.0,0.0,3.8,4.0,300.0,1.0,C
10-06-2025,26.2,32.6,29.1,81.0,27.3,2.6,4.0,260.0,1.0,C
11-06-2025,25.0,32.8,28.4,79.0,30.5,2.8,3.0,100.0,2.0,E
12-06-2025,26.0,33.4,29.2,74.0,0.0,2.7,4.0,110.0,1.0,C
13-06-2025,26.8,34.6,30.0,71.0,0.0,2.8,4.0,100.0,1.0,C
14-06-2025,25.0,33.4,27.9,80.0,0.0,2.9,3.0,160.0,1.0,C
15-06-2025,26.0,33.2,29.2,76.0,10.6,1.0,3.0,60.0,1.0,C
16-06-2025,27.0,33.4,29.9,76.0,8888.0,2.5,5.0,90.0,2.0,E
17-06-2025,27.2,33.4,29.6,76.0,0.0,3.7,4.0,240.0,1.0,C
18-06-2025,24.8,29.0,26.5,87.0,41.5,3.4,5.0,240.0,1.0,C
19-06-2025,25.6,28.8,26.6,81.0,2.0,0.2,3.0,50.0,1.0,C
20-06-2025,25.6,32.4,28.2,74.0,8888.0,0.0,2.0,121.0,0.0,C
21-06-2025,24.9,31.8,27.4,83.0,10.9,7.6,2.0,340.0,1.0,C
22-06-2025,25.2,32.4,28.9,76.0,8888.0,1.0,5.0,120.0,2.0,E
23-06-2025,26.2,32.8,28.7,76.0,8888.0,5.6,3.0,80.0,1.0,C
24-06-2025,26.2,31.0,28.1,80.0,0.4,3.4,3.0,290.0,1.0,C
25-06-2025,26.2,32.6,28.4,75.0,0.0,0.9,4.0,300.0,1.0,C
26-06-2025,26.2,32.4,28.8,73.0,0.0,3.6,2.0,250.0,0.0,C
27-06-2025,26.2,32.2,29.1,77.0,0.0,6.4,3.0,300.0,1.0,C
28-06-2025,27.6,31.6,28.4,77.0,0.0,0.5,3.0,100.0,1.0,C
29-06-2025,24.6,27.4,25.8,90.0,5.7,0.5,3.0,160.0,1.0,C
30-06-2025,25.0,32.0,28.1,79.0,2.1,0.4,3.0,81.0,1.0,C
