TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-08-2025,26.4,34.2,29.2,72.0,0.0,7.0,2.0,90.0,1.0,E
02-08-2025,25.4,33.4,29.3,69.0,0.0,6.9,3.0,100.0,1.0,C
03-08-2025,26.2,33.2,29.4,75.0,0.0,7.0,3.0,120.0,1.0,C
04-08-2025,27.0,33.0,28.6,73.0,0.0,5.9,3.0,290.0,1.0,C
05-08-2025,25.8,33.4,28.9,76.0,0.4,6.0,4.0,280.0,1.0,C
06-08-2025,25.4,33.3,28.9,75.0,4.0,6.1,4.0,360.0,1.0,C
07-08-2025,26.2,33.0,29.3,75.0,0.0,6.8,3.0,300.0,1.0,C
08-08-2025,26.2,32.0,28.5,80.0,3.6,5.7,3.0,120.0,1.0,C
09-08-2025,26.6,33.6,29.4,74.0,0.0,4.1,2.0,250.0,0.0,C
10-08-2025,26.0,33.4,28.6,75.0,0.0,6.7,4.0,330.0,1.0,C
11-08-2025,25.6,31.6,27.7,84.0,34.5,6.4,6.0,300.0,1.0,C
12-08-2025,25.6,29.4,25.9,91.0,29.1,4.0,4.0,160.0,0.0,C
13-08-2025,24.0,32.4,27.4,80.0,60.8,0.4,3.0,130.0,0.0,C
14-08-2025,24.6,32.4,28.6,69.0,8888.0,6.8,4.0,100.0,1.0,C
15-08-2025,24.8,32.2,28.2,63.0,1.2,4.2,5.0,290.0,1.0,C
16-08-2025,24.8,32.8,28.3,72.0,0.0,7.3,4.0,180.0,2.0,E
17-08-2025,25.2,32.8,29.1,71.0,0.0,6.8,5.0,20.0,3.0,E
18-08-2025,26.6,32.6,28.9,69.0,0.0,7.3,5.0,100.0,2.0,C
19-08-2025,25.0,30.2,27.0,83.0,7.7,3.0,2.0,130.0,0.0,C
20-08-2025,25.6,31.4,27.4,79.0,4.4,0.2,3.0,40.0,1.0,C
21-08-2025,24.8,31.8,27.8,81.0,2.6,1.4,4.0,310.0,2.0,C
22-08-2025,25.8,32.0,28.4,77.0,0.0,3.8,3.0,260.0,1.0,C
23-08-2025,26.2,33.6,29.1,77.0,0.0,6.8,3.0,290.0,1.0,C
24-08-2025,26.8,32.6,29.1,75.0,0.0,7.1,4.0,280.0,1.0,C
25-08-2025,26.8,31.4,27.9,77.0,0.0,7.1,2.0,290.0,0.0,C
26-08-2025,25.0,33.4,28.7,75.0,10.4,2.4,3.0,10.0,1.0,C
27-08-2025,25.2,35.2,29.3,63.0,0.0,7.4,4.0,290.0,1.0,C
28-08-2025,25.4,32.4,28.8,68.0,2.0,7.7,5.0,320.0,1.0,C
29-08-2025,24.0,33.4,28.0,77.0,57.4,3.6,3.0,120.0,1.0,C
30-08-2025,25.2,33.8,28.3,74.0,0.2,8.0,3.0,280.0,1.0,C
31-08-2025,26.0,33.2,28.7,76.0,0.0,3.9,3.0,110.0,1.0,C
