TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-10-2025,24.0,33.2,28.3,77.0,21.2,0.8,4.0,120.0,1.0,C
02-10-2025,25.6,32.6,28.8,77.0,0.0,8.0,4.0,260.0,1.0,C
03-10-2025,26.4,33.2,29.6,72.0,0.0,2.0,3.0,30.0,1.0,C
04-10-2025,26.4,34.3,30.2,70.0,0.0,2.7,4.0,300.0,1.0,C
05-10-2025,27.0,34.0,30.3,69.0,0.0,8.0,4.0,350.0,1.0,C
06-10-2025,27.4,34.6,30.2,68.0,0.0,8.0,4.0,80.0,0.0,C
07-10-2025,27.4,33.2,29.0,76.0,0.0,5.6,5.0,260.0,1.0,C
08-10-2025,26.2,34.0,29.4,69.0,0.0,8.0,3.0,280.0,1.0,C
09-10-2025,27.0,33.4,29.8,67.0,0.0,8.0,4.0,330.0,1.0,C
10-10-2025,26.2,33.6,29.4,66.0,0.0,8.0,5.0,270.0,2.0,C
11-10-2025,26.4,35.4,30.2,64.0,0.0,6.8,4.0,120.0,1.0,C
12-10-2025,27.8,35.0,31.2,63.0,0.0,8.0,3.0,30.0,1.0,C
13-10-2025,27.2,35.0,31.4,68.0,0.0,8.0,3.0,90.0,1.0,C
14-10-2025,27.4,35.2,30.7,70.0,2.5,6.8,5.0,80.0,2.0,C
15-10-2025,28.0,33.4,30.6,75.0,0.0,8.0,5.0,60.0,2.0,C
16-10-2025,28.0,35.4,30.7,70.0,0.9,7.2,2.0,90.0,1.0,C
17-10-2025,28.0,34.4,30.8,68.0,0.0,8.0,3.0,280.0,1.0,C
18-10-2025,27.0,35.0,29.9,74.0,1.9,4.2,3.0,250.0,1.0,C
19-10-2025,27.0,33.4,30.3,71.0,0.0,2.6,3.0,210.0,1.0,C
20-10-2025,28.0,34.0,31.1,71.0,0.0,3.3,4.0,300.0,1.0,C
21-10-2025,28.0,33.8,30.9,70.0,0.0,4.0,6.0,300.0,1.0,C
22-10-2025,26.0,35.8,28.8,80.0,13.6,8.0,4.0,260.0,1.0,C
23-10-2025,24.0,34.2,28.8,79.0,68.0,5.4,4.0,240.0,1.0,C
24-10-2025,26.2,33.6,28.4,78.0,8.9,2.8,8.0,110.0,2.0,C
25-10-2025,25.6,34.4,29.3,70.0,4.5,3.8,6.0,250.0,2.0,C
26-10-2025,26.0,34.0,29.2,76.0,0.7,3.3,4.0,250.0,1.0,C
27-10-2025,25.8,33.4,28.7,76.0,0.0,5.4,3.0,290.0,1.0,C
