TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-07-2023,25,32.0,29.2,78.0,0,4.8,2.0,20.0,1.0,C 
02-07-2023,27.6,32.4,29.3,75.0,0,2.7,5.0,330.0,1.0,C 
03-07-2023,26.8,32.2,29.1,74.0,0,-,7.0,320.0,1.0,C 
04-07-2023,24.6,33.0,28.7,74.0,0,3.5,3.0,320.0,0.0,C 
05-07-2023,26.4,33.4,29.3,73.0,0,5.5,5.0,70.0,1.0,C 
06-07-2023,26.4,30.2,27.8,82.0,1.6,6,3.0,317.0,0.0,C 
07-07-2023,-,31.8,28.2,78.0,2.5,1.5,4.0,320.0,0.0,C 
08-07-2023,25.4,32.0,28.1,80.0,1.2,1.2,3.0,110.0,1.0,C 
09-07-2023,25.4,33.2,28.5,76.0,0,2.4,4.0,50.0,2.0,S 
10-07-2023,26.2,33.0,29.3,73.0,0,4.5,4.0,160.0,1.0,C 
11-07-2023,26.4,33.2,29.1,72.0,0,3.4,4.0,310.0,1.0,C 
12-07-2023,26,32.0,29.1,76.0,-,6.6,5.0,317.0,1.0,C 
13-07-2023,26.8,32.6,28.9,72.0,0,6.3,6.0,320.0,1.0,C 
14-07-2023,26.4,32.6,29.0,72.0,-,4.5,2.0,320.0,1.0,C 
15-07-2023,26,32.6,28.9,73.0,0,4,8.0,320.0,2.0,C 
16-07-2023,25.6,32.8,28.9,74.0,0,5,4.0,320.0,1.0,C 
17-07-2023,26.6,33.4,29.3,68.0,0,5.6,3.0,80.0,1.0,C 
18-07-2023,25.8,33.2,28.8,67.0,0,5,3.0,315.0,1.0,C 
19-07-2023,25.6,34.6,29.5,59.0,-,6.6,5.0,310.0,1.0,C 
20-07-2023,25.2,32.4,27.9,61.0,0,6.8,4.0,317.0,1.0,C 
21-07-2023,25.4,33.6,28.8,67.0,0,6.6,5.0,320.0,1.0,C 
22-07-2023,26.2,32.8,29.1,70.0,0,4,3.0,110.0,1.0,C 
23-07-2023,26,33.6,29.0,68.0,0,6,4.0,320.0,1.0,C 
24-07-2023,-,32.0,28.8,76.0,0,6.8,5.0,316.0,1.0,C 
25-07-2023,26,30.8,28.0,78.0,8888,2.7,5.0,320.0,0.0,C 
26-07-2023,26,30.8,28.0,74.0,0,3.3,4.0,310.0,1.0,C 
27-07-2023,26.4,32.6,29.0,72.0,-,1.5,5.0,320.0,1.0,C 
28-07-2023,25,33.2,28.9,68.0,-,1,6.0,320.0,1.0,C 
29-07-2023,26,32.8,28.6,67.0,0,6.3,3.0,150.0,2.0,E 
30-07-2023,25.6,33.2,28.5,66.0,0,6,5.0,190.0,2.0,C 
31-07-2023,-,33.0,28.2,65.0,-,4.8,4.0,320.0,1.0,C 
