TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-02-2023,25.4,30.2,27.0,85.0,0.5,0.0,4.0,320.0,1.0,C 
02-02-2023,24.6,29.5,27.2,88.0,31.8,0.2,6.0,320.0,2.0,C 
03-02-2023,23.2,31.2,26.7,80.0,25.2,0.2,3.0,320.0,1.0,C 
04-02-2023,24,30.2,27.7,83.0,8888,0.1,5.0,320.0,2.0,W 
05-02-2023,26.2,33.6,28.4,77.0,-,1.2,8.0,310.0,2.0,C 
06-02-2023,25,33.4,29.2,67.0,1.2,5.5,4.0,290.0,2.0,C 
07-02-2023,26.4,30.2,27.8,78.0,0,3.0,4.0,240.0,1.0,C 
08-02-2023,-,32.2,27.1,87.0,62.8,2.0,4.0,310.0,1.0,C 
09-02-2023,25.2,31.8,27.4,73.0,1,2.2,9.0,320.0,1.0,C 
10-02-2023,25,31.8,27.9,77.0,9.6,1.5,7.0,317.0,2.0,C 
11-02-2023,25.2,29.4,27.5,85.0,25.8,6.3,4.0,290.0,1.0,C 
12-02-2023,23.8,28.6,25.0,92.0,40.8,1.5,4.0,270.0,2.0,W 
13-02-2023,24.2,30.8,27.6,78.0,1.8,0.0,10.0,320.0,1.0,C 
14-02-2023,24,30.8,27.3,79.0,5.4,0.9,7.0,316.0,2.0,NW
15-02-2023,25.8,31.0,28.1,74.0,8888,0.9,5.0,320.0,1.0,C 
16-02-2023,26.2,31.2,27.1,82.0,9.5,1.8,3.0,316.0,1.0,C 
17-02-2023,25,29.8,27.0,81.0,31,1.8,4.0,320.0,1.0,C 
18-02-2023,25.4,30.4,27.6,83.0,2.5,0.2,7.0,320.0,2.0,C 
19-02-2023,25.8,30.2,27.5,82.0,3.8,5.2,4.0,310.0,1.0,C 
20-02-2023,26,32.6,27.5,83.0,0.5,4.3,3.0,300.0,1.0,C 
21-02-2023,26.4,31.6,28.0,77.0,10,6.5,3.0,300.0,1.0,C 
22-02-2023,24.4,30.8,27.3,84.0,29.7,3.0,5.0,280.0,1.0,C 
23-02-2023,24.6,30.4,26.9,87.0,21.5,3.2,6.0,315.0,1.0,C 
24-02-2023,24.4,29.8,25.8,94.0,76.9,3.6,4.0,290.0,1.0,C 
25-02-2023,24.6,29.4,27.0,86.0,74.1,0.0,5.0,310.0,2.0,W 
26-02-2023,24.6,29.6,26.7,88.0,36.7,0.4,4.0,320.0,1.0,C 
27-02-2023,24.8,30.0,27.1,84.0,38.9,0.5,5.0,315.0,1.0,C 
28-02-2023,24.8,31.6,27.0,84.0,20.3,1.5,4.0,230.0,1.0,C 
