TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-08-2024,27.2,33.0,28.7,77.0,0.0,7.0,7.0,360.0,2.0,C
02-08-2024,25.0,32.6,28.8,75.0,8888.0,0.6,5.0,320.0,1.0,C
03-08-2024,25.4,33.6,28.6,78.0,2.6,5.4,3.0,40.0,1.0,C
04-08-2024,26.6,33.4,29.3,75.0,0.0,7.0,5.0,10.0,1.0,C
05-08-2024,26.2,31.6,28.5,74.0,5.0,7.1,6.0,320.0,2.0,C
06-08-2024,26.2,33.8,29.2,69.0,0.0,2.5,5.0,360.0,1.0,C
07-08-2024,25.0,33.2,28.9,72.0,0.0,7.0,7.0,330.0,1.0,C
08-08-2024,27.0,33.6,29.4,68.0,0.0,7.0,3.0,110.0,1.0,C
09-08-2024,27.0,35.2,29.7,70.0,0.0,2.5,3.0,360.0,1.0,C
10-08-2024,25.0,33.8,29.5,72.0,0.0,7.0,3.0,20.0,1.0,C
11-08-2024,26.6,31.8,29.1,71.0,0.0,7.2,8.0,340.0,2.0,C
12-08-2024,26.6,33.0,29.0,62.0,0.0,5.4,5.0,320.0,1.0,C
13-08-2024,24.8,34.8,29.0,61.0,0.0,5.3,3.0,130.0,1.0,C
14-08-2024,25.0,34.4,29.3,68.0,0.0,7.3,2.0,110.0,1.0,E
15-08-2024,26.2,33.4,29.2,69.0,0.0,7.3,6.0,320.0,1.0,C
16-08-2024,27.0,33.4,29.0,69.0,0.0,6.5,4.0,290.0,1.0,C
17-08-2024,27.0,33.2,29.4,69.0,0.0,4.5,5.0,320.0,1.0,C
18-08-2024,25.0,33.6,29.0,72.0,0.0,4.0,4.0,330.0,1.0,C
19-08-2024,26.6,32.6,29.1,73.0,0.0,7.2,4.0,320.0,1.0,C
20-08-2024,26.4,33.4,28.8,76.0,0.0,7.5,6.0,320.0,1.0,C
21-08-2024,26.8,33.6,29.1,74.0,0.0,6.0,5.0,330.0,1.0,C
22-08-2024,25.0,33.4,29.1,73.0,0.0,6.8,4.0,310.0,1.0,C
23-08-2024,26.6,32.0,28.8,76.0,0.0,6.0,4.0,280.0,1.0,C
24-08-2024,26.4,32.6,28.5,73.0,0.0,6.0,5.0,360.0,1.0,C
25-08-2024,26.6,33.6,28.7,68.0,0.0,7.0,7.0,350.0,1.0,C
26-08-2024,26.0,32.8,29.4,70.0,0.0,7.0,6.0,320.0,2.0,C
27-08-2024,26.6,33.4,29.1,71.0,0.0,7.4,6.0,340.0,1.0,C
28-08-2024,26.8,33.4,28.7,64.0,0.0,7.5,7.0,330.0,2.0,C
29-08-2024,27.0,33.6,30.4,65.0,0.0,7.0,5.0,320.0,1.0,C
30-08-2024,25.0,33.2,28.8,67.0,0.0,4.2,6.0,330.0,1.0,C
31-08-2024,26.4,33.4,28.6,70.0,0.0,3.5,6.0,320.0,1.0,C
