TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-03-2023,24.6,29.8,26.7,88.0,12.7,1,8.0,315.0,1.0,C 
02-03-2023,23.4,27.0,25.1,92.0,79.5,0.5,4.0,210.0,0.0,C 
03-03-2023,23.8,31.8,27.0,84.0,3.8,0,9.0,315.0,1.0,C 
04-03-2023,24.2,29.6,26.8,81.0,42.5,2.2,4.0,300.0,1.0,C 
05-03-2023,25,29.6,26.6,87.0,2.2,2,3.0,310.0,0.0,C 
06-03-2023,24,33.0,28.3,71.0,2.3,2.4,7.0,310.0,2.0,C 
07-03-2023,25.2,31.2,27.7,76.0,8888,5.2,4.0,315.0,1.0,C 
08-03-2023,25.6,29.2,26.5,88.0,4,8,2.0,250.0,1.0,C 
09-03-2023,24.8,31.6,27.1,83.0,9.5,0.5,7.0,320.0,1.0,C 
10-03-2023,24,32.4,27.8,81.0,10,6.1,5.0,320.0,1.0,C 
11-03-2023,25.8,33.6,28.5,77.0,8888,8.4,4.0,280.0,1.0,C 
12-03-2023,26.6,30.8,28.4,80.0,0,8,4.0,300.0,1.0,C 
13-03-2023,25.6,32.2,28.4,72.0,-,2.6,8.0,315.0,2.0,C 
14-03-2023,24.2,31.8,27.2,82.0,-,7.6,7.0,320.0,1.0,C 
15-03-2023,24.4,28.4,25.5,90.0,11,0,4.0,320.0,1.0,C 
16-03-2023,24.4,31.2,27.4,82.0,2.4,0,5.0,320.0,1.0,C 
17-03-2023,25.2,32.4,28.6,75.0,-,8,9.0,310.0,2.0,C 
18-03-2023,23.8,32.6,28.3,78.0,-,9.1,3.0,317.0,1.0,C 
19-03-2023,26.4,32.0,28.7,81.0,0,8,6.0,320.0,2.0,C 
20-03-2023,26,32.4,28.7,75.0,0,6,5.0,317.0,1.0,C 
21-03-2023,25.6,33.6,29.2,69.0,8888,7.6,5.0,315.0,0.0,C 
22-03-2023,25,32.6,29.1,76.0,8888,7,3.0,350.0,0.0,C 
23-03-2023,27.2,33.8,29.3,76.0,8888,6.7,9.0,320.0,1.0,C 
24-03-2023,27.2,32.0,29.3,78.0,0,7,7.0,317.0,1.0,C 
25-03-2023,27,33.8,27.9,83.0,-,5,5.0,320.0,1.0,C 
26-03-2023,24,30.6,26.8,88.0,48.7,3,4.0,300.0,1.0,C 
27-03-2023,-,32.4,27.4,84.0,8888,6.5,5.0,315.0,1.0,C 
28-03-2023,26,29.6,27.3,86.0,4.2,3,4.0,317.0,0.0,C 
29-03-2023,25.6,32.6,27.5,79.0,-,0,6.0,315.0,1.0,C 
30-03-2023,-,31.8,26.3,92.0,-,-,4.0,290.0,0.0,C 
31-03-2023,25,33.2,28.8,70.0,3.2,4,9.0,315.0,2.0,C 
