TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-04-2023,26.2,31.0,28.1,74,0,3.0,4.0,260.0,2.0,W 
02-04-2023,26.0,33.0,28.8,76,1.2,0.3,7.0,320.0,1.0,C 
03-04-2023,24.6,32.6,28.1,74,-,6.9,8.0,315.0,1.0,C 
04-04-2023,25.0,32.6,28.7,72,18.4,6.7,4.0,340.0,1.0,C 
05-04-2023,25.8,33.2,29,69,-,3.2,6.0,317.0,1.0,C 
06-04-2023,26.6,34.8,30.3,56,0,9.2,5.0,315.0,1.0,C 
07-04-2023,26.0,32.4,28.7,69,0,5.6,5.0,316.0,1.0,C 
08-04-2023,26.6,33.2,28.9,74,0,8.0,3.0,290.0,1.0,C 
09-04-2023,27.0,32.8,-,-,8888,7.6,4.0,320.0,2.0,NW
10-04-2023,26.8,33.0,29.1,70,-,5.0,5.0,240.0,2.0,NW
11-04-2023,24.8,33.8,28.9,75,3,2.9,6.0,315.0,3.0,W 
12-04-2023,27.0,34.8,29.6,66,8888,5.2,11.0,320.0,2.0,NW
13-04-2023,26.6,33.6,29.4,73,0,5.5,3.0,316.0,1.0,C 
14-04-2023,26.5,33.4,28.3,79,0,3.4,9.0,320.0,2.0,C 
15-04-2023,25.0,32.0,28.3,81,66.6,5.8,6.0,310.0,1.0,C 
16-04-2023,25.8,33.4,28.9,80,2,6.8,3.0,270.0,1.0,C 
17-04-2023,26.8,33.4,29.3,76,12,5.5,3.0,250.0,1.0,C 
18-04-2023,26.0,33.4,29.1,81,13.2,7.2,3.0,320.0,1.0,C 
19-04-2023,25.0,34.4,29.7,79,1.2,4.8,2.0,240.0,1.0,C 
20-04-2023,25.6,34.2,28.9,80,29.5,7.6,5.0,320.0,0.0,C 
21-04-2023,26.6,33.6,29.2,81,5.8,3.7,15.0,10.0,1.0,C 
22-04-2023,25.0,33.8,29.6,76,-,6.4,3.0,60.0,1.0,C 
23-04-2023,26.6,34.0,29.8,76,-,7.0,5.0,100.0,1.0,C 
24-04-2023,27.0,34.2,29.5,79,3.6,7.0,5.0,320.0,1.0,C 
25-04-2023,25.8,32.2,28.5,81,9.7,7.5,4.0,340.0,0.0,C 
26-04-2023,26.4,33.2,28.7,80,-,3.2,7.0,320.0,1.0,C 
27-04-2023,27.0,33.0,29.6,79,1.3,7.4,3.0,330.0,1.0,C 
28-04-2023,27.4,32.8,29.4,79,0,5.8,4.0,320.0,1.0,C 
29-04-2023,26.0,32.6,28.6,83,0,4.7,4.0,320.0,1.0,C 
30-04-2023,25.0,33.0,29.6,76,-,3.0,5.0,300.0,1.0,C 
