TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-04-2025,26.4,28.6,26.9,86.0,1.0,5.5,4.0,280.0,1.0,C
02-04-2025,26.0,33.2,28.3,80.0,5.8,0.5,4.0,280.0,1.0,C
03-04-2025,25.0,32.0,28.5,81.0,8.2,2.0,4.0,310.0,1.0,C
04-04-2025,25.8,32.0,28.4,82.0,5.9,5.0,4.0,300.0,1.0,C
05-04-2025,26.0,32.4,28.8,80.0,8888.0,5.0,3.0,280.0,1.0,C
06-04-2025,25.0,32.4,27.8,83.0,0.0,3.8,6.0,320.0,1.0,C
07-04-2025,25.2,32.4,28.5,80.0,43.0,5.4,4.0,300.0,1.0,C
08-04-2025,25.6,33.2,29.0,76.0,0.0,6.6,5.0,290.0,1.0,C
09-04-2025,25.0,32.6,29.5,75.0,0.0,8.0,4.0,30.0,1.0,C
10-04-2025,27.4,32.6,29.3,79.0,0.0,4.5,4.0,270.0,1.0,C
11-04-2025,26.4,33.6,28.9,78.0,0.0,5.4,4.0,300.0,1.0,C
12-04-2025,25.0,31.0,28.7,79.0,0.0,5.4,6.0,280.0,1.0,C
13-04-2025,26.0,31.6,27.9,84.0,11.1,2.4,4.0,320.0,2.0,C
14-04-2025,25.0,34.6,29.7,74.0,8.9,1.0,3.0,250.0,1.0,C
15-04-2025,25.0,31.8,29.0,76.0,0.0,6.8,3.0,271.0,1.0,C
16-04-2025,25.8,32.4,28.4,82.0,2.5,0.0,5.0,290.0,1.0,C
17-04-2025,25.4,30.0,27.3,86.0,25.5,5.7,3.0,300.0,0.0,C
18-04-2025,25.0,33.4,28.8,83.0,0.0,0.0,6.0,220.0,1.0,C
19-04-2025,26.6,33.6,29.3,78.0,2.8,1.6,5.0,300.0,1.0,C
20-04-2025,25.4,34.6,29.2,75.0,2.1,4.0,3.0,310.0,1.0,C
21-04-2025,25.0,32.6,28.9,76.0,0.0,1.8,5.0,250.0,1.0,C
22-04-2025,26.4,32.4,28.2,78.0,7.5,0.0,3.0,300.0,0.0,C
23-04-2025,26.0,34.6,29.1,74.0,9.5,0.6,7.0,290.0,2.0,C
24-04-2025,24.2,33.8,29.7,72.0,0.0,0.8,6.0,310.0,2.0,C
25-04-2025,27.0,32.4,29.3,76.0,0.0,6.7,4.0,310.0,1.0,C
26-04-2025,27.0,33.4,29.4,78.0,8888.0,3.0,2.0,320.0,1.0,C
27-04-2025,24.0,32.4,28.5,81.0,25.0,1.0,4.0,310.0,1.0,C
28-04-2025,26.2,32.4,29.2,75.0,0.0,7.0,4.0,300.0,1.0,C
29-04-2025,27.2,33.6,29.7,73.0,0.0,6.2,4.0,330.0,1.0,C
30-04-2025,24.8,33.8,29.8,71.0,0.0,6.2,3.0,220.0,1.0,C
