TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-09-2025,26.2,33.4,29.0,72.0,7.3,5.2,4.0,90.0,1.0,C
02-09-2025,26.6,33.6,29.5,70.0,0.0,8.0,3.0,140.0,1.0,C
03-09-2025,26.6,34.0,29.4,65.0,0.0,8.0,4.0,130.0,1.0,C
04-09-2025,27.0,33.2,29.7,72.0,0.0,8.0,4.0,60.0,1.0,C
05-09-2025,27.0,33.0,29.5,73.0,0.0,8.0,6.0,300.0,1.0,C
06-09-2025,27.0,33.7,29.5,69.0,0.0,7.8,2.0,250.0,1.0,C
07-09-2025,25.6,32.8,28.9,65.0,0.4,6.6,2.0,130.0,1.0,C
08-09-2025,26.8,32.4,29.2,70.0,0.0,4.8,3.0,290.0,1.0,C
09-09-2025,27.0,31.6,27.5,82.0,0.0,2.9,4.0,230.0,1.0,C
10-09-2025,25.0,33.0,28.5,77.0,27.7,1.6,3.0,340.0,1.0,C
11-09-2025,25.8,30.4,28.3,77.0,0.4,6.8,3.0,240.0,1.0,C
12-09-2025,26.0,33.2,27.9,79.0,0.8,1.4,3.0,240.0,1.0,C
13-09-2025,25.0,33.4,28.9,72.0,2.4,6.0,4.0,290.0,1.0,C
14-09-2025,26.2,33.2,29.7,70.0,0.0,8.0,3.0,330.0,1.0,C
15-09-2025,27.2,33.5,29.8,63.0,0.0,5.5,4.0,360.0,1.0,C
16-09-2025,27.6,33.0,29.7,69.0,0.0,6.4,3.0,260.0,1.0,C
17-09-2025,27.0,32.0,28.2,76.0,8888.0,5.6,4.0,310.0,1.0,C
18-09-2025,25.2,29.2,27.1,82.0,9.0,1.5,3.0,50.0,0.0,C
19-09-2025,25.8,31.0,28.2,76.0,0.0,0.0,3.0,110.0,1.0,C
20-09-2025,25.4,30.6,26.9,86.0,8.8,0.0,5.0,320.0,1.0,C
21-09-2025,26.0,32.2,27.7,81.0,1.2,2.0,4.0,260.0,1.0,C
22-09-2025,26.2,35.2,30.0,74.0,0.0,6.1,2.0,90.0,1.0,C
23-09-2025,25.4,33.6,29.0,77.0,6.6,8.0,3.0,290.0,1.0,C
24-09-2025,26.6,33.5,29.7,68.0,0.0,7.5,5.0,300.0,1.0,C
25-09-2025,26.4,33.2,29.5,72.0,0.0,8.0,5.0,300.0,1.0,C
26-09-2025,27.0,35.0,30.2,68.0,0.0,6.5,4.0,50.0,1.0,C
27-09-2025,27.6,34.4,30.3,69.0,0.0,7.6,5.0,130.0,2.0,E
28-09-2025,27.8,34.6,30.5,67.0,0.0,8.0,5.0,330.0,2.0,C
29-09-2025,27.4,33.4,28.1,78.0,0.0,8.0,2.0,300.0,1.0,C
30-09-2025,25.4,32.8,28.3,74.0,8.1,1.7,4.0,60.0,1.0,C
