TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-08-2023,24,33.2,28.7,68.0,-,6.0,6.0,240.0,2.0,E 
02-08-2023,26,32.4,29.4,72.0,0,7.0,4.0,320.0,2.0,S 
03-08-2023,26.8,33.6,29.4,75.0,0,0.7,5.0,320.0,1.0,C 
04-08-2023,-,34.2,29.6,74.0,0,3.5,4.0,320.0,1.0,C 
05-08-2023,26.6,33.0,29.4,71.0,-,6.5,4.0,350.0,1.0,C 
06-08-2023,26.4,33.4,28.8,73.0,0,6.8,7.0,20.0,2.0,C 
07-08-2023,26.2,32.6,28.8,76.0,0,7.0,5.0,310.0,1.0,C 
08-08-2023,26.4,34.0,29.0,77.0,-,5.2,7.0,320.0,2.0,C 
09-08-2023,26,33.4,28.7,75.0,0,7.0,4.0,320.0,0.0,C 
10-08-2023,25.8,33.2,28.3,76.0,0,7.2,6.0,320.0,1.0,C 
11-08-2023,26.4,31.5,28.6,74.0,0,6.7,6.0,320.0,2.0,C 
12-08-2023,25.8,33.6,28.8,66.0,-,5.0,5.0,310.0,1.0,C 
13-08-2023,25.6,32.4,28.2,70.0,0,7.0,4.0,180.0,1.0,C 
14-08-2023,25.8,32.8,28.4,72.0,0,6.7,4.0,160.0,2.0,C 
15-08-2023,26,32.2,28.4,74.0,0,7.0,3.0,40.0,1.0,C 
16-08-2023,26.4,33.6,28.8,72.0,-,7.0,4.0,320.0,1.0,C 
17-08-2023,25,32.4,28.2,70.0,-,5.5,7.0,350.0,1.0,C 
18-08-2023,25.8,32.4,28.2,71.0,0,7.2,10.0,320.0,2.0,C 
19-08-2023,26.2,33.0,28.9,71.0,0,6.8,4.0,100.0,2.0,C 
20-08-2023,26.4,34.8,29.4,72.0,-,7.0,5.0,210.0,1.0,C 
21-08-2023,25,33.4,29.2,68.0,0,6.8,4.0,180.0,1.0,C 
22-08-2023,26,32.2,28.8,70.0,0,4.5,5.0,130.0,2.0,C 
23-08-2023,26.2,32.6,29.0,68.0,0,4.5,5.0,320.0,2.0,C 
24-08-2023,26,33.6,29.2,70.0,0,5.5,3.0,130.0,1.0,C 
25-08-2023,26,33.0,28.8,74.0,-,7.2,5.0,320.0,1.0,C 
26-08-2023,27,32.2,29.1,74.0,0,7.4,5.0,70.0,1.0,C 
27-08-2023,27.4,32.2,29.0,76.0,0,4.5,2.0,30.0,1.0,C 
28-08-2023,25.6,33.6,28.7,71.0,1.8,5.0,3.0,330.0,1.0,C 
29-08-2023,25,33.2,28.7,71.0,-,5.0,0.0,0.0,0.0,C 
30-08-2023,26,32.2,28.5,72.0,0,7.5,5.0,80.0,2.0,C 
31-08-2023,25.2,32.2,28.2,73.0,0,7.5,5.0,330.0,1.0,C 
