TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-02-2025,25.4,31.0,28.4,78.0,1.0,2.2,3.0,280.0,1.0,W
02-02-2025,25.0,30.4,28.5,82.0,1.3,1.0,5.0,330.0,2.0,NW
03-02-2025,27.4,30.4,28.8,79.0,0.0,1.6,3.0,30.0,1.0,C
04-02-2025,26.8,31.6,28.2,83.0,0.0,0.0,6.0,230.0,1.0,C
05-02-2025,25.0,31.4,28.1,78.0,1.0,0.0,6.0,270.0,2.0,W
06-02-2025,26.2,31.2,28.5,77.0,13.8,6.5,5.0,300.0,2.0,C
07-02-2025,25.0,31.4,28.1,82.0,8.4,2.0,4.0,320.0,1.0,C
08-02-2025,23.6,31.8,26.9,84.0,75.3,4.6,3.0,250.0,1.0,C
09-02-2025,25.0,30.4,28.2,79.0,0.3,1.8,5.0,280.0,1.0,C
10-02-2025,26.2,31.0,27.9,80.0,1.7,4.8,3.0,280.0,1.0,C
11-02-2025,25.0,31.4,28.2,82.0,1.1,2.6,4.0,300.0,1.0,C
12-02-2025,26.2,33.4,28.7,81.0,0.8,3.4,4.0,320.0,1.0,C
13-02-2025,26.2,35.6,30.4,70.0,0.0,6.4,4.0,280.0,1.0,C
14-02-2025,25.2,33.4,29.2,76.0,0.0,7.4,7.0,250.0,2.0,SW
15-02-2025,27.0,30.4,28.6,79.0,8888.0,3.7,5.0,280.0,1.0,C
16-02-2025,27.0,32.6,28.8,78.0,1.6,6.1,4.0,220.0,1.0,C
17-02-2025,25.0,32.0,26.6,89.0,0.6,2.3,2.0,230.0,1.0,C
18-02-2025,24.8,32.0,27.0,86.0,27.9,0.2,5.0,270.0,1.0,C
19-02-2025,25.2,31.0,27.4,85.0,5.0,0.5,3.0,240.0,1.0,C
20-02-2025,24.0,31.6,27.2,83.0,18.6,3.8,6.0,290.0,1.0,C
21-02-2025,24.2,31.4,28.5,79.0,0.0,6.7,5.0,290.0,2.0,C
22-02-2025,26.6,30.0,27.6,85.0,2.0,1.6,3.0,340.0,1.0,C
23-02-2025,24.0,29.4,27.1,85.0,5.5,0.2,3.0,310.0,1.0,C
24-02-2025,24.2,31.2,27.3,87.0,87.7,0.4,4.0,270.0,1.0,C
25-02-2025,25.2,32.0,28.0,80.0,0.2,3.5,4.0,340.0,1.0,C
26-02-2025,25.0,30.0,27.6,82.0,0.0,2.4,2.0,300.0,1.0,C
27-02-2025,26.0,31.4,28.2,81.0,0.0,0.6,4.0,230.0,1.0,C
28-02-2025,25.4,32.6,28.5,80.0,8.4,6.2,4.0,300.0,1.0,C
