TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-03-2025,25.0,32.0,28.6,79.0,2.0,5.3,3.0,340.0,1.0,C
02-03-2025,26.4,32.0,28.9,81.0,0.0,8.0,5.0,300.0,2.0,C
03-03-2025,25.8,32.6,28.5,81.0,0.0,4.4,3.0,50.0,1.0,C
04-03-2025,24.2,30.6,27.5,83.0,40.5,0.0,3.0,300.0,1.0,C
05-03-2025,25.4,33.4,28.9,78.0,8888.0,0.0,3.0,320.0,1.0,C
06-03-2025,26.2,34.0,29.6,76.0,0.0,2.4,5.0,300.0,1.0,C
07-03-2025,24.2,33.2,29.3,72.0,8888.0,0.4,4.0,250.0,1.0,C
08-03-2025,26.4,32.4,28.4,78.0,8888.0,0.0,5.0,310.0,2.0,C
09-03-2025,26.0,32.8,28.7,78.0,8888.0,0.0,4.0,290.0,1.0,C
10-03-2025,25.0,31.2,28.5,78.0,0.0,0.0,3.0,100.0,1.0,C
11-03-2025,26.4,32.2,28.8,78.0,0.0,1.2,5.0,290.0,1.0,C
12-03-2025,26.6,33.6,29.6,74.0,0.0,3.2,4.0,300.0,1.0,C
13-03-2025,25.0,32.4,29.4,76.0,0.0,3.7,5.0,280.0,1.0,C
14-03-2025,26.6,34.6,29.0,73.0,0.0,2.5,5.0,300.0,2.0,W
15-03-2025,26.0,32.6,28.6,74.0,1.3,6.0,5.0,240.0,1.0,C
16-03-2025,24.0,33.6,29.3,72.0,0.6,2.0,5.0,250.0,2.0,C
17-03-2025,27.0,31.2,28.5,80.0,0.0,4.2,5.0,310.0,1.0,C
18-03-2025,24.4,31.6,28.1,80.0,23.1,2.2,4.0,300.0,1.0,C
19-03-2025,24.2,33.4,28.5,78.0,1.3,1.4,4.0,290.0,2.0,W
20-03-2025,25.0,33.4,28.4,79.0,6.0,1.8,4.0,260.0,2.0,W
21-03-2025,26.4,33.0,29.4,72.0,1.4,4.0,5.0,330.0,2.0,NW
22-03-2025,25.0,32.6,28.5,83.0,0.0,6.9,4.0,280.0,1.0,C
23-03-2025,26.4,32.0,28.7,82.0,20.3,1.7,5.0,300.0,2.0,C
24-03-2025,26.8,31.6,28.6,81.0,1.2,4.2,3.0,270.0,1.0,C
25-03-2025,25.0,30.6,28.8,81.0,0.0,2.0,4.0,280.0,1.0,C
26-03-2025,27.0,31.2,28.6,85.0,1.0,1.4,3.0,310.0,1.0,C
27-03-2025,26.8,32.6,28.2,84.0,0.0,0.0,3.0,250.0,1.0,C
28-03-2025,25.0,30.8,28.2,82.0,5.4,3.0,4.0,210.0,2.0,W
29-03-2025,25.6,33.0,28.8,74.0,0.3,1.5,6.0,240.0,3.0,SW
30-03-2025,25.6,34.6,30.2,74.0,8888.0,4.2,5.0,260.0,2.0,C
31-03-2025,25.0,33.8,29.3,74.0,0.0,6.0,4.0,290.0,1.0,C
