TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-07-2025,24.8,33.0,28.7,78.0,17.9,0.0,3.0,220.0,1.0,C
02-07-2025,25.2,33.2,28.2,78.0,0.0,0.0,4.0,130.0,1.0,C
03-07-2025,24.8,31.6,28.2,79.0,13.0,0.0,3.0,90.0,0.0,C
04-07-2025,25.2,33.0,28.7,74.0,0.0,0.0,3.0,290.0,0.0,C
05-07-2025,27.0,32.4,29.3,74.0,0.0,7.6,4.0,260.0,1.0,C
06-07-2025,24.2,32.0,26.7,83.0,35.2,6.6,3.0,120.0,1.0,C
07-07-2025,24.0,32.2,28.1,78.0,26.4,6.2,4.0,290.0,1.0,C
08-07-2025,24.0,32.5,28.2,77.0,72.7,5.6,3.0,100.0,1.0,C
09-07-2025,24.8,31.8,28.4,80.0,0.0,5.5,3.0,300.0,0.0,C
10-07-2025,26.2,32.0,28.5,70.0,2.2,0.8,3.0,280.0,1.0,C
11-07-2025,26.5,32.2,29.0,64.0,0.0,7.0,2.0,100.0,1.0,C
12-07-2025,26.0,32.8,28.9,69.0,0.0,1.9,4.0,70.0,1.0,C
13-07-2025,26.4,32.6,28.7,72.0,0.0,7.0,3.0,80.0,1.0,C
14-07-2025,25.8,31.4,28.1,80.0,5.4,3.1,2.0,310.0,0.0,C
15-07-2025,26.0,33.2,29.0,79.0,0.0,0.0,4.0,240.0,1.0,C
16-07-2025,27.0,33.0,29.2,75.0,0.0,4.0,3.0,290.0,1.0,C
17-07-2025,25.2,32.4,28.3,80.0,80.0,6.0,3.0,250.0,1.0,C
18-07-2025,25.7,32.0,28.6,79.0,1.4,4.5,4.0,340.0,1.0,C
19-07-2025,25.0,32.4,28.2,74.0,0.2,5.2,3.0,290.0,1.0,C
20-07-2025,25.2,32.0,28.4,70.0,0.0,6.7,4.0,290.0,1.0,C
21-07-2025,26.4,33.5,28.7,71.0,0.0,5.8,3.0,30.0,1.0,C
22-07-2025,25.8,33.6,28.5,69.0,0.0,6.3,3.0,130.0,1.0,C
23-07-2025,26.2,33.4,29.6,63.0,0.0,7.0,4.0,330.0,0.0,C
24-07-2025,26.2,34.2,29.5,65.0,0.0,7.0,4.0,290.0,1.0,E
25-07-2025,27.6,33.8,29.9,69.0,0.0,6.3,3.0,140.0,1.0,E
26-07-2025,27.2,34.2,29.9,70.0,0.0,5.1,4.0,100.0,1.0,C
27-07-2025,27.2,33.4,29.7,76.0,0.0,7.0,3.0,50.0,1.0,C
28-07-2025,27.4,33.8,29.0,76.0,0.0,7.2,2.0,280.0,1.0,C
29-07-2025,25.8,34.0,29.3,72.0,47.0,4.5,3.0,70.0,0.0,C
30-07-2025,26.5,33.6,29.6,73.0,0.0,6.2,5.0,120.0,1.0,E
31-07-2025,26.2,34.0,29.1,71.0,0.0,6.8,6.0,60.0,2.0,E
